code,name,shortName,detailLevel,termType,parentCode,order,reportable
A0ELX,Primary derivatives from nuts and similar seeds (as part-nature),,H,f,A067X,6,true
A0END,Smoked seafood (as part-nature),,C,f,A0EMR,5,true
A0ENX,Spoonable desserts and ice creams (as part-nature),,H,f,A06GC,3,true
A0EQF,Dairy snacks (as part-nature),,C,f,A06AY,10,true
A0DAT,Jerusalem artichoke (feed),,C,r,A0BH7,56,true
A0DST,For own consumption,,F,f,A0C8A,11,true
A0EEY,Fermented milk or cream (feed),,C,g,A0BM9,8,true
A0F7G,Naturally occurring freshwater,,C,n,A0C5Y,7,true
A0ESP,Hair (as part-nature),,F,f,A0CEG,9,true
A0F4T,Including visible fat,,F,f,A0F1Q,16,true
A0F5K,Brown,,F,f,A0F2P,6,true
A0F6C,Fortified,,F,f,A0F5Y,1,true
A0F7P,Only peel,,F,f,A0F1P,17,true
A0CTY,Other edible snails not belonging to the genus Helix,,E,r,A02LK,3,true
A0DCP,Other algae,,P,r,A00VA,5,true
A0E0H,Serviceberry (as plant),,E,n,A05YP,13,true
A0E1M,Fingerrot (as plant),,E,n,A05VE,3,true
A0E1T,Corn gromwell (as plant),,E,n,A05RS,8,true
A0E3H,Excelsa coffee (as plant),,E,n,A065J,1,true
A0E5E,Fusarium venenatum (as organism),,E,n,A05MA,7,true
A0E6H,Shimeji (as organism),,E,n,A05MA,10,true
A0E7F,Che berry (as plant),,E,n,A05YP,18,true
A0E9Z,Black cherry (as plant),,E,n,A060T,5,true
A0EAV,Jostaberry (as plant),,E,n,A05YP,10,true
A0EDQ,Corn smut (as organism),,E,n,A05MA,5,true
A0EVX,Bromine,,C,d,A0EVF,13,true
A0EXA,Iodine,,C,d,A0EVF,9,true
A0F3M,Mammals other slaughtering products,,P,r,A020P,1,true
A0F3P,Microcystis aeruginosa (as organism),,E,n,A0F3N,1,true
A13EP,Abrus precatorius L. (as plant),,E,n,A138V,2,true
A13EY,Acacia sinuata (Lour.) Merr. (as plant),,E,n,A138V,9,true
A13FR,Achyranthes bidentata Blume (as plant),,E,n,A135J,2,true
A13FV,Aconitum anthora L. (as plant),,E,n,A13CR,1,true
A13GR,Adiantum pedatum L. (as plant),,E,n,A135B,1,true
A13GV,Adonis annua L. (as plant),,E,n,A13CR,15,true
A13HF,Aframomum exscapum (Sims) Hepper (as plant),,E,n,A13EK,2,true
A13HG,Aframomum melegueta K.Schum. (as plant),,E,n,A13EK,3,true
A13HK,Agastache foeniculum (Pursh) Kuntze (as plant),,E,n,A139Q,1,true
A13HQ,Agathosma serratifolia (Curtis) Spreeth (as plant),,E,n,A13CX,4,true
A13JD,Ajuga iva (L.) Schreb. (as plant),,E,n,A139Q,5,true
A13JE,Ajuga reptans L. (as plant),,E,n,A139Q,6,true
A13JK,Albizia lebbeck (L.) Benth. (as plant),,E,n,A138V,13,true
A13JN,Allamanda cathartica L. (as plant),,E,n,A135Q,3,true
A13JZ,Aloe plicatilis (L.) Mill. (as plant),,E,n,A13EJ,4,true
A13KM,Ammi visnaga Lam. (as plant),,E,n,A135P,4,true
A13LL,Andromeda spp. (as plant),,E,n,A138Q,2,true
A13LZ,Angelica polymorpha Maxim. (as plant),,E,n,A135P,7,true
A13MV,Antirhea borbonica J.F.Gmel. (as plant),,E,n,A13CV,1,true
A13NK,Arenga pinnata (Wurmb) Merr. (as plant),,E,n,A135V,2,true
A13PD,Aristolochia rotunda L. (as plant),,E,n,A135X,11,true
A13PS,Artemisia cina Berg (as plant),,E,n,A136A,28,true
A13QA,Artemisia judaica L. (as plant),,E,n,A136A,34,true
A13QT,Asclepias curassavica L. (as plant),,E,n,A135Q,10,true
A13QX,Asclepias tuberosa L. (as plant),,E,n,A135Q,12,true
A13RN,Astracantha microcephala (Willd.) Podlech (as plant),,E,n,A138V,22,true
A13SG,Atropa belladonna L. (as plant),,E,n,A13DN,2,true
A13SZ,Badula ovalifolia A.DC. (as plant),,E,n,A13CL,10,true
A13TF,Bambusa bambos (L.) Voss (as plant),,E,n,A13CE,3,true
A13TL,Barringtonia asiatica (L.) Kurz (as plant),,E,n,A139T,1,true
A13TZ,Bergenia crassifolia (L.) Fritsch (as plant),,E,n,A13DF,2,true
A13VC,Betula alnoides Buch.-Ham. ex D.Don (as plant),,E,n,A136H,2,true
A13XZ,Bursera simaruba (L.) Sarg. (as plant),,E,n,A136N,4,true
A13YC,Butea superba Roxb. (as plant),,E,n,A138V,33,true
A13YJ,Caesalpinia pulcherrima (L.) Sw. (as plant),,E,n,A138V,37,true
A13YK,Caesalpinia sappan L. (as plant),,E,n,A138V,38,true
A13YX,Calophyllum tacamahaca Willd. (as plant),,E,n,A137H,2,true
A13ZD,Camphorosma monspeliaca L. (as plant),,E,n,A135J,10,true
A13ZS,Careya arborea Roxb. (as plant),,E,n,A139T,2,true
A140A,Cascabela thevetia (L.) Lippold (as plant),,E,n,A135Q,17,true
A140C,Casearia sylvestris Sw. (as plant),,E,n,A13CY,2,true
A141H,Cercis siliquastrum L. (as plant),,E,n,A138V,42,true
A142A,Chenopodium bonus-henricus L. (as plant),,E,n,A135J,14,true
A142E,Chiococca alba (L.) Hitchc. (as plant),,E,n,A13CV,5,true
A142S,Cicuta maculata L. (as plant),,E,n,A135P,19,true
A143D,Cinnamomum rigidissimum H.T.Chang (as plant),,E,n,A139S,9,true
A144B,Clematis hexapetala Pall. (as plant),,E,n,A13CR,31,true
A144E,Clematis recta L. (as plant),,E,n,A13CR,34,true
A145A,Cocculus orbiculatus DC. (as plant),,E,n,A13AM,7,true
A145B,Codiaeum variegatum (L.) Rumph. ex A.Juss. (as plant),,E,n,A138T,7,true
A145D,Coffea mauritiana Lam. (as plant),,E,n,A13CV,10,true
A145E,Cola ballayi Cornu ex Heckel (as plant),,E,n,A13AH,3,true
A145F,Colchicum autumnale L. (as plant),,E,n,A137J,1,true
A145V,Commiphora habessinica (O.Berg) Engl. (as plant),,E,n,A136N,10,true
A146L,Copaifera guyanensis Desf. (as plant),,E,n,A138V,48,true
A146Z,Cordia myxa L. (as plant),,E,n,A136L,11,true
A147A,Cordyline fruticosa (L.) A.Chev. (as plant),,E,n,A135Y,9,true
A147G,Cornus florida L. (as plant),,E,n,A137Q,1,true
A149S,Cyathula officinalis Kuan (as plant),,E,n,A135J,19,true
A14AA,Cyclanthera pedata (L.) Schrad. (as plant),,E,n,A137V,5,true
A14AX,Cytinus hypocistis (L.) L. (as plant),,E,n,A138C,1,true
A14CB,Delphinium staphisagria L. (as plant),,E,n,A13CR,47,true
A14CM,Dianthus caryophyllus L. (as plant),,E,n,A137D,4,true
A14CN,Dianthus chinensis L. (as plant),,E,n,A137D,5,true
