NEVO-code,NEVO-naam,English food name,LANGUAL CODES,FoodEx2 code
1,Aardappelen rauw,Potatoes raw,A0706 A0829 B1218 C0240 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 R0355 Z0001,A00ZX#F28.A07HS
2,Aardappelen nieuwe rauw,Potatoes new raw,A0706 A0829 B1218 C0240 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 R0355 Z0001,A00ZV#F28.A07HS
3,Aardappelen oude rauw,Potatoes old raw,A0706 A0829 B1218 C0240 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 R0355 Z0001,A00ZX#F28.A07HS
4,Pasta witte rauw,Pasta white raw,A0694 A0815 B1312 C0208 E0140 F0003 G0003 H0138 J0116 K0003 M0001 N0001 P0024 R0001 Z0001,A007P#F28.A07HS
5,Rijst witte rauw,Rice white raw,A0696 A0814 B1322 C0134 E0150 F0003 G0003 H0138 J0116 K0003 M0001 N0001 P0024,A003D#F28.A07HS
7,Andijvie rauw,Endive raw,A0705 A0825 B1314 C0200 E0152 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 R0001 Z0001,A00LD#F26.A07XD$F28.A07GL
8,Andijvie gekookt,Endive boiled,A0705 A0825 B1314 C0200 E0152 F0014 G0015 H0001 J0001 K0003 M0001 N0001 P0024 P0078 R0001 Z0001,A00LD#F26.A07XD$F28.A07GL
9,Asperge witte rauw,Asparagus white raw,A0705 A0825 B1415 C0186 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 R0001 Z0001,A00RT
10,Aubergine rauw,Aubergine/eggplant raw,A0705 A0825 B1458 C0230 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 R0001 Z0001,A00JD
11,Aubergine gekookt,Aubergine/eggplant boiled,A0705 A0825 B1458 C0230 E0152 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024 P0078 R0001 Z0001,A00JD#F28.A07GL
12,Biet rode rauw,Beetroot raw,A0705 A0825 B1309 C0240 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 R0001 Z0001,A00QG
13,Selderij bleek- gekookt,Celery boiled,A0705 A0825 B1282 C0101 E0152 F0014 G0015 H0001 J0001 K0003 M0001 N0001 P0024 P0078,A00RY#F28.A07GL
14,Kool bloem- rauw,Cauliflower raw,A0705 A0825 B1094 C0237 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024,A00FR
15,Kool bloem- gekookt,Cauliflower boiled,A0705 A0825 B1094 C0237 E0152 F0014 G0015 H0001 J0001 K0003 M0001 N0001 P0024 P0078,A00FR#F28.A07GL
16,Kool boeren- gekookt,Kale curly boiled,A0705 A0825 B1281 C0200 E0151 F0014 G0015 H0001 J0001 K0003 M0001 N0001 P0024 P0078,A00GM#F28.A07GL
17,Cantharel rauw,Mushrooms chanterelle raw,A0705 A0825 B1569 C0296 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024,A00TE
18,Cantharel gekookt,Mushrooms chanterelle boiled,A0705 A0825 B1569 C0296 E0151 F0014 G0015 H0001 J0001 K0003 M0001 N0001 P0024 P0078,A00TE#F28.A07GL
19,Champignon rauw,Mushroom raw,A0705 A0825 B1467 C0296 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024,A00TQ
20,Champignon gekookt,Mushroom boiled,A0705 A0825 B1467 C0296 E0151 F0014 G0015 H0001 J0001 K0003 M0001 N0001 P0024 P0078,A00TQ#F28.A07GL
21,Kool Chinese rauw,Cabbage Chinese raw,A0705 A0825 B1051 C0151 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024,A00GG
22,Kool Chinese gekookt,Cabbage Chinese boiled,A0705 A0825 B1051 C0151 E0152 F0014 G0015 H0001 J0001 K0003 M0001 N0001 P0024 P0078,A00GG#F28.A07GL
23,Doperwten rauw,Peas raw,A0705 A0825 B1338 C0133 E0150 F0003 G0003 H0003 J0003 K0003 M0003 N0001 P0024,A012J
24,Kool groene rauw,Cabbage green raw,A0705 A0825 B2071 C0151 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024,A00GB
25,Kool groene gekookt,Cabbage green boiled,A0705 A0825 B2071 C0151 E0152 F0014 G0015 H0001 J0001 K0003 M0001 N0001 P0024 P0078,A00GB#F28.A07GL
26,Selderij knol- gekookt,Celeriac boiled,A0705 A0825 B1729 C0240 E0151 F0014 G0015 H0001 J0001 K0003 M0001 N0001 P0024 P0078,A00QJ#F28.A07GL
27,Komkommer z schil rauw,Cucumber wo skin raw,A0705 A0826 B1404 C0230 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024,A00JM#F20.A07QF
28,Komkommer gekookt,Cucumber boiled,A0705 A0826 B1404 C0140 E0150 F0014 G0015 H0003 J0003 K0003 M0001 N0001 P0024 P0078,A00JM#F28.A07GL
29,Koolraap gekookt,Swede boiled,A0705 A0825 B1369 C0101 E0152 F0014 G0015 H0001 J0001 K0003 M0001 N0001 P0024 P0078,A00RD#F28.A07GL
30,Koolrabi gekookt,Kohlrabi boiled,A0705 A0825 B1369 C0101 E0152 F0014 G0015 H0001 J0001 K0003 M0001 N0001 P0024 P0078,A00GV#F28.A07GL
31,Paprika groene rauw,Sweet pepper green raw,A0705 A0825 B2629 C0139 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024,A00JA
32,Paprika groene gekookt,Sweet pepper green boiled,A0705 A0825 B2629 C0139 E0151 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024 Z0051,A00JA#F28.A07GL
33,Rozijnen gedroogd,Raisins dried,A0707 A0834 B1329 C0137 E0150 F0003 G0003 H0138 J0141 K0003 M0001 N0001 P0024,A01ME
35,Peultjes rauw,Mange-tout raw,A0705 A0825 B1371 C0262 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024,A00QA
36,Postelein gekookt,Purslane boiled,A0705 A0825 B1642 C0144 E0150 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024 P0078,A00MP#F28.A07GL
37,Prei gekookt,Leek boiled,A0705 A0825 B1308 C0148 E0151 F0014 G0015 H0001 J0001 K0003 M0001 N0001 P0024 P0078,A00SB#F28.A07GL
38,Raapstelen rauw,Turnip tops raw,A0705 A0825 B1238 C0200 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024,A00LY
39,Raapstelen gekookt,Turnip tops boiled,A0705 A0825 B1238 C0200 E0151 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024 P0078,A00LY#F28.A07GL
