NEVO-code,vegan,vegetarian,meat_or_fish,legume
1,yes,yes,no,no
2,yes,yes,no,no
3,yes,yes,no,no
4,no,yes,no,no
5,no,yes,no,no
7,yes,yes,no,no
8,yes,yes,no,no
9,yes,yes,no,no
10,no,yes,no,no
11,no,yes,no,no
12,yes,yes,no,no
13,yes,yes,no,no
14,yes,yes,no,no
15,yes,yes,no,no
16,yes,yes,no,no
17,no,yes,no,no
18,no,yes,no,no
19,no,no,yes,no
20,no,no,yes,no
21,yes,yes,no,no
22,yes,yes,no,no
23,yes,yes,no,yes
24,yes,yes,no,no
25,yes,yes,no,no
26,yes,yes,no,no
27,yes,yes,no,no
28,yes,yes,no,no
29,yes,yes,no,no
30,yes,yes,no,no
31,yes,yes,no,no
32,yes,yes,no,no
33,yes,yes,no,no
35,yes,yes,no,no
36,no,yes,no,no
37,no,yes,no,no
38,yes,yes,no,no
39,yes,yes,no,no
40,yes,yes,no,no
41,yes,yes,no,no
42,yes,yes,no,no
45,yes,yes,no,no
46,no,yes,no,no
47,no,yes,no,no
48,yes,yes,no,no
49,yes,yes,no,yes
50,yes,yes,no,yes
51,yes,yes,no,no
52,yes,yes,no,no
53,yes,yes,no,no
54,yes,yes,no,no
55,yes,yes,no,no
57,yes,yes,no,no
58,yes,yes,no,yes
59,yes,yes,no,yes
60,yes,yes,no,no
61,yes,yes,no,no
62,yes,yes,no,yes
63,yes,yes,no,no
64,yes,yes,no,no
65,no,no,yes,no
67,yes,yes,no,no
68,yes,yes,no,no
69,yes,yes,no,no
70,yes,yes,no,no
71,yes,yes,no,no
72,yes,yes,no,no
73,yes,yes,no,no
74,yes,yes,no,no
75,yes,yes,no,no
80,no,yes,no,no
83,no,no,yes,no
84,no,no,yes,no
85,no,no,yes,no
86,no,no,yes,no
87,no,no,yes,no
95,no,no,yes,no
99,no,no,yes,no
105,no,no,yes,no
106,no,no,yes,no
107,no,no,yes,no
108,no,no,yes,no
109,no,no,yes,no
110,no,no,yes,no
111,no,no,yes,no
112,no,no,yes,no
113,no,no,yes,no
114,no,no,yes,no
116,no,no,yes,no
117,yes,yes,no,yes
118,yes,yes,no,yes
119,yes,yes,no,yes
120,yes,yes,no,yes
121,no,yes,no,no
122,no,yes,no,no
124,yes,yes,no,no
125,yes,yes,no,no
126,yes,yes,no,no
127,yes,yes,no,no
128,yes,yes,no,no
130,yes,yes,no,no
131,yes,yes,no,no
132,yes,yes,no,no
133,no,no,yes,no
134,yes,yes,no,yes
135,yes,yes,no,yes
136,yes,yes,no,yes
137,yes,yes,no,no
138,yes,yes,no,yes
139,yes,yes,no,yes
140,yes,yes,no,no
141,yes,yes,no,no
142,yes,yes,no,yes
143,yes,yes,no,no
144,yes,yes,no,no
145,yes,yes,no,no
146,yes,yes,no,no
147,yes,yes,no,no
148,no,yes,no,no
149,yes,yes,no,no
150,yes,yes,no,no
151,yes,yes,no,no
152,yes,yes,no,no
153,yes,yes,no,no
154,yes,yes,no,no
155,yes,yes,no,no
156,yes,yes,no,no
157,yes,yes,no,no
158,yes,yes,no,no
159,yes,yes,no,no
160,yes,yes,no,no
161,yes,yes,no,no
162,yes,yes,no,no
163,yes,yes,no,no
164,no,no,yes,no
165,yes,yes,no,no
166,yes,yes,no,no
167,yes,yes,no,no
168,yes,yes,no,yes
169,yes,yes,no,yes
170,yes,yes,no,no
171,yes,yes,no,no
172,yes,yes,no,no
173,yes,yes,no,no
174,no,yes,no,no
175,yes,yes,no,no
176,yes,yes,no,no
177,yes,yes,no,no
178,yes,yes,no,no
179,yes,yes,no,no
180,yes,yes,no,no
181,yes,yes,no,no
182,yes,yes,no,no
183,yes,yes,no,no
184,yes,yes,no,no
185,yes,yes,no,no
186,yes,yes,no,no
187,yes,yes,no,yes
188,yes,yes,no,yes
189,yes,yes,no,yes
190,yes,yes,no,no
191,yes,yes,no,no
192,yes,yes,no,no
193,yes,yes,no,no
194,yes,yes,no,no
195,yes,yes,no,no
196,yes,yes,no,yes
197,yes,yes,no,yes
198,yes,yes,no,no
199,yes,yes,no,no
200,yes,yes,no,no
201,yes,yes,no,no
202,no,no,yes,no
203,yes,yes,no,no
204,yes,yes,no,yes
205,yes,yes,no,no
206,yes,yes,no,no
207,yes,yes,no,no
208,no,yes,no,no
209,no,yes,no,no
210,no,yes,no,no
212,no,yes,no,yes
213,no,yes,no,no
215,no,yes,no,no
216,no,yes,no,no
217,no,yes,no,no
218,no,yes,no,no
219,yes,yes,no,yes
220,no,yes,no,no
222,no,yes,no,no
223,no,yes,no,no
224,no,yes,no,no
225,no,yes,no,no
226,no,yes,no,no
227,no,yes,no,no
228,no,yes,no,no
229,no,yes,no,no
230,no,yes,no,no
231,no,yes,no,no
232,no,yes,no,no
233,no,yes,no,no
234,no,yes,no,no
235,no,yes,no,no
236,no,yes,no,no
238,no,yes,no,no
240,no,yes,no,no
241,no,yes,no,no
242,no,yes,no,no
243,no,yes,no,no
244,no,yes,no,no
246,no,yes,no,no
248,no,yes,no,no
249,no,yes,no,no
250,no,yes,no,no
251,no,yes,no,no
252,no,yes,no,no
253,no,yes,no,no
254,no,yes,no,no
255,no,yes,no,no
256,no,yes,no,no
257,no,yes,no,no
258,no,yes,no,no
259,no,yes,no,no
260,no,yes,no,no
261,no,yes,no,no
262,no,yes,no,no
263,no,yes,no,no
264,no,yes,no,no
265,no,yes,no,no
266,no,no,yes,no
267,no,yes,no,no
269,no,no,yes,no
270,no,yes,no,no
271,no,yes,no,no
272,no,yes,no,no
273,no,yes,no,no
274,no,yes,no,no
276,no,yes,no,no
278,no,yes,no,no
279,no,yes,no,no
280,no,yes,no,no
281,no,yes,no,no
282,no,yes,no,no
284,no,yes,no,no
285,no,yes,no,no
286,no,yes,no,no
288,no,yes,no,no
289,no,yes,no,no
290,no,yes,no,no
291,no,yes,no,no
292,no,yes,no,no
293,no,yes,no,no
294,no,yes,no,no
295,no,yes,no,no
296,no,yes,no,no
297,no,yes,no,no
298,no,yes,no,no
299,no,yes,no,no
300,no,yes,no,no
301,no,yes,no,no
303,no,yes,no,no
304,no,yes,no,no
305,no,yes,no,no
306,no,yes,no,no
307,no,yes,no,no
308,yes,yes,no,yes
310,no,yes,no,no
313,yes,yes,no,yes
314,no,no,yes,no
315,no,no,yes,no
317,no,yes,no,no
319,no,no,yes,no
320,no,no,yes,no
322,no,no,yes,no
324,no,no,yes,no
326,no,no,yes,no
328,no,no,yes,no
330,no,no,yes,no
333,no,no,yes,no
