"barcode","name","description","createdBy","brands","categories","labels","quantity","servingSize","ingredientsText","allergens","traces","countries","origins","manufacturingPlaces","imageUrl","imageFrontUrl","nutritionDataPer","energyKcal","energyKj","fat","saturatedFat","transFat","cholesterol","carbohydrates","sugars","addedSugars","fiber","proteins","salt","sodium","vitaminA","vitaminC","calcium","iron","potassium","magnesium","zinc","nutriscoreGrade","nutriscoreScore","novaGroup","ecoscoreGrade","carbonFootprint","isVegan","isVegetarian","isPalmOilFree","ingredientsAnalysisTags","packagingTags","packagingMaterials","packagingRecycling","packagingText","completeness"
"7033330013245","Original","Original","system-seed-openfoodfacts","Bremykt","en:plant-based-foods-and-beverages|en:dairies|en:plant-based-foods|en:fats|en:spreads|en:plant-based-spreads|en:vegetable-fats|en:spreadable-fats|en:animal-fats|en:dairy-spreads|en:margarines|en:milkfat|en:butters|en:butter-and-margarine-mix","en:no-gluten|en:green-dot","500g","10 g","Meierismør, 30 % rapsolje, vann, vitamin D","en:milk|nb:meierismør",,"en:norway",,"Norway","https://images.openfoodfacts.org/images/products/703/333/001/3245/front_nb.65.400.jpg","https://images.openfoodfacts.org/images/products/703/333/001/3245/front_nb.65.400.jpg","100g","726",,"80","34",,,"0.5","0.5","0",,"0.5","0.1965","0.0786","0.000761","0",,"0",,"0","0","d","16","2","e",,,,"1","en:palm-oil-free|en:vegan-status-unknown|en:vegetarian-status-unknown",,,,"Sorteres som plast","0.9"
"7039010149020","Stabburet Stabbur-Makrell","Makrell fillet i tomatsaus","system-seed-openfoodfacts","Stabburet","en:seafood|en:fishes-and-their-products|en:canned-foods|en:fishes|en:fatty-fishes|en:canned-fishes|en:fish-fillets|en:mackerels|en:mackerel-fillets|en:mackerel-fillets-with-tomato-sauce","en:no-gluten|en:keyhole","170 g","170 g","Makrellfilet 71%, tomatsaus 29 % (tomatpuré, vann, rapsolje, sukker, salt, antioksidant (askorbinsyre, sitronsyre)).
inneholder 5,3 g omega-3 fettsyrer per 100 g, hvorav 1,3 g epa og 2,2 g dha.",,,"en:norway|en:singapore",,,"https://images.openfoodfacts.org/images/products/703/901/014/9020/front_en.50.400.jpg","https://images.openfoodfacts.org/images/products/703/901/014/9020/front_en.50.400.jpg","100g","258",,"21","3.5",,,"3.5","3.4","0",,"13","0.9825","0.393","0","0",,"0",,"0","0","c","5","3","d",,,,"1","en:palm-oil-free|en:vegan-status-unknown|en:vegetarian-status-unknown","en:metal|en:canned","en:metal",,,"0.9875"
"4000405002360","Vegane Pommersche - Schnittlauch","Veganes Erzeugnis nach Art einer Leberwurst mit Schnittlauch auf Basis von Erbsen","system-seed-openfoodfacts","Rügenwalder Mühle","en:plant-based-foods-and-beverages|en:plant-based-foods|en:spreads|en:plant-based-spreads|en:salted-spreads|en:meat-alternatives|en:liverwurst-spread-substitutes|en:auf-fleisch-basierende-lebensmittel|en:brotaufstriche|en:fleisch-ersatzprodukte|en:gesalzene-aufstriche|en:pflanzliche-brotaufstriche|en:pflanzliche-lebensmittel|en:pflanzliche-lebensmittel-und-getranke|en:wurste|en:zubereitetes-fleisch","en:vegetarian|en:source-of-fibre|en:vegan|en:european-vegetarian-union|en:european-vegetarian-union-vegan|en:no-flavour-enhancer","125g",,"drinking water, rapeseed oil, 7% pea protein, starch, 3% chives, insulin, sunflower protein, fava bean protein, citrus fibres, table salt, pea fibres, sugar, spices, natural flavouring, colouring foods: concentrates of radish, carrot, paprika, smoke flavouring",,"en:gluten|en:soybeans","en:germany",,,"https://images.openfoodfacts.org/images/products/400/040/500/2360/front_de.28.400.jpg","https://images.openfoodfacts.org/images/products/400/040/500/2360/front_de.28.400.jpg","100g","221","916","17","1.2",,,"7.3","0.7","0.35","5.1","7.2","2.1","0.84",,,,,,,,"d","11","4","unknown",,"1","1","1","en:palm-oil-free|en:vegan|en:vegetarian",,"en:plastic|en:pp-5-polypropylene","de:Getrennt entsorgen",,"0.8"
"4066600603405","Paulaner Spezi","Coffeinhaltige Orangenlimonade mit Cola","system-seed-openfoodfacts","Paulaner","en:beverages-and-beverages-preparations|en:plant-based-foods-and-beverages|en:beverages|en:plant-based-beverages|en:carbonated-drinks|en:fruit-based-beverages|en:sodas|en:fruit-sodas|en:colas|en:sweetened-beverages|de:colamix","en:vegetarian|en:no-gluten|en:vegan","10l","500 ml","water, sugar, orange juice from orange juice concentrate (2.2%), lemon juice from lemon juice concentrate (0.8%), carbonic acid, orange extract, dye e 150d, acidifier phosphoric acid and citric acid, acidity regulator sodium citrate, natural flavor, flavor caffeine, antioxidant ascorbic acid, stabilizer locust bean gum,",,,"en:germany|en:switzerland",,,"https://images.openfoodfacts.org/images/products/406/660/060/3405/front_de.143.400.jpg","https://images.openfoodfacts.org/images/products/406/660/060/3405/front_de.143.400.jpg","100g","37","155","0","0",,,"9.2","9.2","5.7",,"0","0.04","0.016",,,,,,,,"e","11","4","not-applicable",,"1","1","1","en:palm-oil-free|en:vegan|en:vegetarian","en:bottle|de:produkt","en:aluminium|en:brown-glass","en:recycle|en:reuse",,"0.7875"
"8718907845052","Jonge Kaas 48+ Plakken","Jonge Kaas 48+ Plakken","system-seed-openfoodfacts","AH","en:jonge-kaas-plakken|en:kaas|en:plakken-kaas","en:sustainable|en:no-gluten|en:animal-welfare|en:nutriscore|en:nutriscore-grade-d|en:planet-proof|fr:lait-de-paturage","400 g",,"Melk*, zout, zuursel, microbieel stremsel.","en:milk",,"en:belgium",,,"https://images.openfoodfacts.org/images/products/871/890/784/5052/front_nl.4.400.jpg","https://images.openfoodfacts.org/images/products/871/890/784/5052/front_nl.4.400.jpg","100g","360","1506","30","20",,,"0","0","0","0","23","1.77","0.708",,,,,,,,"e","22","3","unknown",,"0","1","1","en:palm-oil-free|en:non-vegan|en:vegetarian",,,,,"0.7"
"8710739489084","Stroopwaffels","Stroopwaffels","system-seed-openfoodfacts","Bakker Joop","en:snacks|en:sweet-snacks|en:biscuits-and-cakes|en:biscuits|en:filled-biscuits",,"378 gram",,",39% alucose-fructose syrup leseed flour, oilceatetal, (in variable proportion) (palm, cilla and toümèsof whey powder (milk), starch 'wheat), baking powder (600), soya flour, (soya ficithin and skimmed milk in spice eggs koel en droog bewaren/ store in a cool, dry place/ kühl und trocken lagem/ atonserver in a cool and dry place,","en:gluten|en:milk|en:soybeans",,"en:france",,,"https://images.openfoodfacts.org/images/products/871/073/948/9084/front_fr.15.400.jpg","https://images.openfoodfacts.org/images/products/871/073/948/9084/front_fr.15.400.jpg","100g","459",,"19.4","9.2",,,"67.1","35.8",,"0.7","3.7","0.7","0.28",,,,,,,,"e","27",,"d",,,,"0","en:palm-oil|en:vegan-status-unknown|en:vegetarian-status-unknown",,,,,"0.6875"
"8000500037560","kinder bueno","kinder bueno","system-seed-openfoodfacts","kinder","en:snacks|en:sweet-snacks|en:cocoa-and-its-products|en:confectioneries|en:chocolate-candies|en:bars|en:candy-chocolate-bars|en:chocolate-biscuity-bars|en:chocolate-nuts-cookie-bars","en:green-dot|en:pure-cocoa-butter","43g","21.5 g (Portion)","milk chocolate 31,5 % (sugar, cocoa butter, cocoa mass, skimmed milk powder, concentrated butter, emulsifiers: lecithins [soya], vanillin), sugar, palm oil, wheat flour, ground hazelnuts 10,8%, skimmed milk powder, milk powder, dark chocolate (sugar, cocoa mass, cocoa butter, emulsifiers: lecithins [soya], vanillin), lean cocoa, emulsifiers: lecithins [soya], raising agents (sodium acid carbonate, ammonium acid carbonate), salt, vanillin,","en:gluten|en:milk|en:nuts|en:soybeans",,"en:algeria|en:belgium|en:france|en:germany|en:italy|en:morocco|en:spain|en:switzerland|en:tunisia|en:united-kingdom|en:united-states",,,"https://images.openfoodfacts.org/images/products/800/050/003/7560/front_en.298.400.jpg","https://images.openfoodfacts.org/images/products/800/050/003/7560/front_en.298.400.jpg","100g",,,,,,,,,,,,,,,,,,,,,"a","0","4","e",,"0",,"0","en:palm-oil|en:non-vegan|en:vegetarian-status-unknown","fr:pensez-au-tri-etuis-plastiques-3-consigne-pouvant-varier-localement-www-consignesdetrufr","en:plastic","en:recycle",,"0.8625"
"8076809513753","Pesto alla Genovese","basil pesto","system-seed-openfoodfacts","Barilla","en:condiments|en:sauces|en:pasta-sauces|en:pestos|en:cooking-sauces|en:green-pestos","en:no-gluten|en:pdo|fr:triman|fr:iscc-plus|fr:produit-en-italie","190 g e","1 serving (47.5 g)","sunflower oil, fresh basil 30%, cashew nuts, parmigiano reggiano pdo cheese 5%, (milk), maize fibre, whey powder (milk), salt, milk protein, extra virgin olive oil, sugar, basil extract, natural flavourings (milk), acidity regulator: lactic acid, garlic","en:milk|en:nuts","en:nuts","en:australia|en:belgium|en:france|en:germany|en:luxembourg|en:morocco|en:norway|en:poland|en:serbia|en:sweden|en:switzerland|en:turkey|en:united-kingdom|en:united-states",,"Italy","https://images.openfoodfacts.org/images/products/807/680/951/3753/front_en.347.400.jpg","https://images.openfoodfacts.org/images/products/807/680/951/3753/front_en.347.400.jpg","100g","492","2030","47","5.3",,,"11","5","0.078125","3","4.7","3.2","1.28",,,,,,,,"e","27","4","d",,"0",,"1","en:palm-oil-free|en:non-vegan|en:maybe-vegetarian","en:glass|en:bocal","en:glass|en:metal","en:recycle|en:recycle-in-glass-bin",,"0.9"
"8480000590756","Lomo embuchado","Lomo Embuchado","system-seed-openfoodfacts","Hacendado","en:meats-and-their-products|en:meats|en:prepared-meats","en:no-gluten|en:green-dot|en:no-lactose|es:recicla-amarillo","125 g (4 x 31,25 g)","31,25 g","Lomo de cerdo, sal, pimentones, dextrosa, ajo, antioxidantes (E-331, E-301), aromas y conservadores (E-250, E-252).",,"en:none","en:portugal|en:spain",,"España","https://images.openfoodfacts.org/images/products/848/000/059/0756/front_es.74.400.jpg","https://images.openfoodfacts.org/images/products/848/000/059/0756/front_es.74.400.jpg","100g","199","840","5","1.9",,,"0.5","0.5",,,"38","3","1.2",,,,,,,,"d","17","4","unknown",,"0","0","1","en:palm-oil-free|en:non-vegan|en:non-vegetarian","en:plastic|en:protective-gas|fr:4-blister",,,,"1"
"8480000171320","Tomate frito","Tomate frito","system-seed-openfoodfacts","Hacendado","en:condiments|en:sauces|en:meal-sauces|en:tomato-sauces|en:fried-tomato-sauces|en:groceries","en:no-gluten|en:fsc|en:fsc-mix|en:green-dot|en:made-in-spain","400 g","1 serving (100 g)","tomato, sunflower oil, sugar, modified corn starch, salt, onion, garlic, preservative (potassium sorbate),",,,"en:morocco|en:portugal|en:romania|en:spain",,"Spain","https://images.openfoodfacts.org/images/products/848/000/017/1320/front_en.102.400.jpg","https://images.openfoodfacts.org/images/products/848/000/017/1320/front_en.102.400.jpg","100g","81","316.5","3.5","0.3",,,"9.5","6.9","0",,"1.5","0.9825","0.393","0","0",,"0",,"0","0","c","4","4","b",,"1","1","1","en:palm-oil-free|en:vegan|en:vegetarian","en:multilayer-composite|en:tetra-pak|en:tetra-brik|en:green-dot","en:plastic|en:tetra-brik","en:recycle-with-plastics-metal-and-bricks",,"0.9875"
